id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W672000001";"1162";"";"";"372P";"1998-06-12";"2014-08-27";"1998-07-17";"0001-01-01";"D";"S";"ASSOCIATION NATIONALE D'OENOGRAPHILIE";"A.N.O.";"la collection des étiquettes de vin, eaux de vie,n spiritueux, et de tous les signes graphiques qui s'y rattachent avec le dessein de promouvoir et de défendre ces boissons; la sauvegarde de ce patrimoine graphique";"010005";"000000";"";"54 bis";"";"AV";"Jeanne d'Arc";"_";"37273";"37700";"La    Ville-aux-Dames";"";"";"";"54 BIS AVENUE JEANNE D'ARC";"";"37700";"LA VILLE AUX DAMES";"FRANCE";"PM";"";"1";"";"A";"2014-09-10 11:58:58"
"W672000102";"20180220";"";"";"401S";"2014-01-08";"2018-02-19";"1901-07-01";"0001-01-01";"D";"S";"TEAM FERRY";"TEAM FERRY";"soutenir le pilote de motocross alsacien Loïc Ferry dans la recherche de sponsors et promouvoir le motocross";"011160";"000000";"";"2188";"";"AV";"de Bordeaux";"_";"40304";"40150";"Soorts-Hossegor";"";"";"";"2188  AVENUE DE BORDEAUX";"";"40150";"SOORTS-HOSSEGOR";"FRANCE";"PM";"";"1";"";"A";"2018-08-21 20:00:05"
"W673000001";"69116473";"";"";"544S";"2013-02-14";"2023-10-26";"2013-06-12";"0001-01-01";"D";"S";"IN THE CUT";"IN THE CUT";"promotion de la culture underground, dans toute sa diversité ; les outils qu'elle se donne sont : l'organisation de concerts et de festivals, l'organisation de projections et d'expositions, et de tous évènements artistiques liés à cette culture ; afin de promouvoir ses évènements, l'association s'autorise tous les supports de communication disponibles : internet, presse écrite audiovisuels";"006100";"000000";"";"9";"";"RUE";"Petite Rue";"";"54552";"54330";"Vaudémont";"";"";"";"19  BOULEVARD LOBAU";"";"54000";"NANCY";"FRANCE";"PF";"";"1";"";"A";"2024-04-26 18:05:53"
"W674000001";"3823";"";"";"211S";"2012-01-31";"2023-05-15";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION DES MELOMANES ET MUSICIENS AMATEURS (AMMA)";"AMMA";"organisation de manifestations culturelles autour de la pratique musicale amateur ; notamment des stages PontiCelli, sous la direction artistique du Quatuor PontiCelli ainsi que la promotion et l'aide à la diffusion de ce même Quatuor PontiCelli ; l'association ne poursuit aucun but lucratif, politique ou religieux ; des activités lucratives au service du but non lucratif, liées à l'organisation de divers évènements musicaux, peuvent être portées par l'association dans le respect de l'esprit de celle-ci";"006030";"006100";"";"21";"";"RUE";"des platanes";"_";"21356";"21170";"Losne";"";"";"";"22 AVENUE CARNOT";"";"25000";"BESANCON";"FRANCE";"PM";"";"1";"";"A";"2023-06-27 18:01:00"
"W675000001";"VOL39FOL48";"53422435700028";"";"812S";"2011-06-10";"2024-02-01";"2011-06-26";"0001-01-01";"D";"S";"LES AMIS DE COLOMBLANCHE";"LES AMIS DE COLOMBLANCHE";"créer et faire vivre un centre de méditation, d'étude et d'accompagnement ; les objectifs de l'association sont de : favoriser le retour ou le maintien de l'équilibre de l'être dans son aspect global ; accueillir et accompagner de façon individuelle ou en groupe pendant des durées variables, régulièrement ou ponctuellement, des personnes désireuses d'approfondir un cheminement vers le mieux-être et le mieux vivre ; organiser des rencontres et échanges entre représentants de différentes philosophies et sagesses d'orient et d'occident, à l'exclusion de tout sectarisme ; favoriser la maturation humaine du corps et de l'esprit selon différentes traditions de la voie de la libération ; développer l'éthique, la conscience et les qualités humaines de solidarité, d'entraide, d'amour et de compassion ; contribuer à la sauvegarde, la rénovation et la mise en valeur du patrimoine";"017135";"000000";"";"2";"";"RTE";"de Saint-Jean";"_";"81312";"81110";"Verdalle";"";"";"";"2  ROUTE DE SAINT-JEAN";"";"81110";"VERDALLE";"FRANCE";"PM";"www.colomblanche.org";"1";"";"A";"2024-02-08 18:08:57"
"W675000002";"W37 V51";"";"";"901P";"1947-01-01";"2017-07-13";"0001-01-01";"0001-01-01";"D";"S";"GROUPEMENT PHILATÉLIQUE RÉGIONAL D'ALSACE ET DU TERRITOIRE DE BELFORT";"GPRAB";"assurer dans le cadre de la Fédération Française des Associations Philatéliques :
la désignation des administrateurs fédéraux-titulaires et suppléants,
la promotion de l'activité philatélique : organisation de conférences, etc..,
la coordination des manifestations,
le patronage des expositions locales et départementales,
la domiciliation des expositions régionales
en harmonie avec la Fédération, les relations, au niveau régional ou départemental, avec toutes les structures intéressées par la ph";"007025";"000000";"";"30";"";"";"Lotissement sur le Creux";"_";"90012";"90160";"Bessoncourt";"";"";"";"30   LOTISSEMENT SUR LE CREUX";"";"90160";"BESSONCOURT";"FRANCE";"PM";"";"1";"inscrite au Tribunal d'Instance de Sélestat (Volume 37 Folio 51)
Transfert de siège Sundhouse 67 à Bessoncourt 90";"A";"2017-08-05 12:45:40"
"W677000001";"VOL. XIII-";"";"";"563P";"1969-09-08";"2014-05-16";"1969-09-19";"0001-01-01";"D";"S";"ASSOCIATION FRANÇAISE DU CHEVAL FJORD";"ASSOCIATION FRANCAISE DU CHEVAL FJORD";"Etudier, faire connaître et encourager l'élevage des chevaux de race Fjord ; contribuer à la sélection des chevaux de cette race ; grouper les éleveurs, utilisateurs et amateurs de ces chevaux ; organiser des manifestations et faire la propagande en faveur du cheval Fjord et en général, de s'intéresser à toutes les questions se rapportant à cette race d'animaux.";"007050";"000000";"";"";" ";"";"Sentier du Riellec";"_Le Riellec";"56240";"56370";"Sarzeau";"";"";"";"198 ROUTE DE SAVERNE";"";"67205";"OBERHAUSBERGEN";"FRANCE";"PM";"www.fjord.asso.fr";"1";"";"A";"2014-11-14 20:00:04"
"W678000001";"99";"49496896900035";"";"751P";"1985-10-08";"2023-12-07";"0001-01-01";"0001-01-01";"D";"S";"SOCIETE FRANCAISE DE RECHERCHE ET MEDECINE DU SOMMEIL (SFRMS)";"SOCIETE FRANCAISE DE RECHERCHE SUR LE";"diffuser les informations scientifiques et faciliter les échanges entre les chercheurs et les soignants dans le domaine de la physiologie et des pathologies du sommeil, susciter, encourager et soutenir notamment financièrement la recherche dans ces domaines, définir, communiquer et favoriser les règles de bonnes pratiques cliniques de la médecine du sommeil, se positionner comme interlocuteur privilégié auprès des pouvoirs publics sur la recherche et la médecine du sommeil ;  accompagner, évaluer et d'accréditer les centres du sommeil selon les critères français et/ou européens de soins et de recherche dans la médecine du sommeil, relayer les actions de formation initiale et continue dans le domaine de la médecine du sommeil ; réaliser toute opération ayant un lien direct ou indirect avec son objet";"017000";"017000";"";"18";" ";"RUE";"ARMAND MOISANT";"_";"75115";"75015";"Paris 15e";"";"";"";"7 RUE CORNEILLE";"";"75006";"PARIS";"FRANCE";"PM";"";"1";"";"A";"2024-06-07 18:06:31"
"W678000002";"82-13";"";"";"792P";"2004-01-22";"2017-04-26";"1901-07-01";"0001-01-01";"D";"S";"TONYMAN, LA ROUTE TUE";"TONYMAN, LA ROUTE TUE";"aider les victimes des accidents de la circulation routière et leurs familles. Informer les victimes et leur familles de leurs droits. Aider les victimes et leurs familles dans les démarches administratives à effectuer à la suite d'un accident de la circulation mortel et/ou corporel. Apporter un soutien moral aux victimes des accidents de la circulation et à leurs familles. Etudier et mettre en oeuvre des actions qui n'auront pour seul but que de faire progresser la sécurité routière....";"014035";"014035";"";"9";"";"RUE";"du Pré Nouveau";"_";"79066";"79220";"Champdeniers-Saint-Denis";"";"";"";"9  RUE DU PRé NOUVEAU";"";"79220";"CHAMPDENIERS-SAINT-DENIS";"FRANCE";"PM";"www.laroutetue.com";"1";"";"A";"2017-04-29 12:45:52"
"W678000003";"V83F277";"53389223800015";"";"751P";"2005-10-13";"2016-01-11";"2005-10-18";"0001-01-01";"D";"S";"ASSOCIATION NATIONALE DES CONSEILLERS POUR LES ARTS PLASTIQUES DU MINISTERE DE LA CULTURE ET DE LA COMMUNICATION - ANCAP";"ANCAP";"Role d'interlocuteur auprès des milieux professionnels français et étrangers et particulièrement européens. Favorise les échanges entre les conseillers pour les arts plastiques soutenir toutes les actions renforçant leur capacité d'expertise, de conseil et d'évaluation permanente et de représenterr l'intéret professionnel des membres adhérents eu égard à leurs fonctions et à leur affectation au sein des DRAC";"006100";"006100";"DRAC - Ile de France";"47";"";"RUE";"Le Peletier";"_";"75109";"75009";"Paris";"";"";"";"47  RUE Le Peletier";"";"75009";"PARIS 09";"FRANCE";"PF";"";"1";"";"A";"2016-07-12 20:00:03"
