id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W579000006";"140-35";"";"";"543P";"2005-06-22";"2020-12-14";"2005-07-08";"0001-01-01";"D";"S";"LIGUE GRAND EST D'AVIRON";"LGEA";"organisation et promotion de la pratique de l'aviron, de la rame (appelée aussi aviron à banc fixe) et de l'aviron indoor (appelée aussi rameur d'intérieur) sur le territoire de sa région ; représentation de l'aviron, de la rame et de l'aviron indoor auprès des instances régionales";"011025";"000000";"MAISON REGIONALE DES SPORTS";"13";"";"RUE";"Jean Moulin";"_";"54526";"54510";"Tomblaine";"";"";"";"6 ALLÉE DES ROSEAUX";"";"88400";"GERARDMER";"FRANCE";"PM";"www.aviron-lorraine.com";"1";"VIENT DU TRIBUNAL D'INSTANCE DE METZ";"A";"2022-03-02 12:02:40"
"W579000007";"121154";"";"";"543P";"1993-07-20";"2014-07-22";"1993-07-30";"0001-01-01";"D";"S";"FEDERATION REGIONALE DES CHASSEURS DE LORRAINE";"FRC LORRAINE";"être un partenaire privilégié dans les domaines administratifs, financiers, juridiques, techniques et scientifiques, auprès de toutes instances départementales, régionales, nationales et européennes afin de mener toutes activités et toutes études en faveur de la faune et de la flore ; mener des actions en faveur de la gestion et de la protection des milieux naturels en concertation avec les instances départementales, régionales, nationales, européennes et internationales ; représenter les intérê";"013005";"000000";"ZA Atton Sud";"";"";"RUE";"Pierre Adt";"_";"54027";"54700";"Atton";"";"ZA ATTON SUD";"";"RUE PIERRE ADT";"";"54700";"ATTON";"FRANCE";"PM";"";"1";"Association enregistrée au tribunal de Metz sous le n° 121154 avec publication au journal d'annonces légales";"A";"2014-11-29 12:46:42"
"W579000008";"14065";"";"";"751P";"2005-07-01";"2014-10-14";"1901-07-01";"0001-01-01";"D";"S";"RESSOURCES";"RESSOURCES";"permettre à ses membres ou leurs filiales et structures affiliées de bénéficier d'une plate-forme de compétences techniques partagées comosée d'experts et des ressources qui leur sont dédiées ; la plate-forme couvrira notamment les services suivants dont les membres ou leurs filiales et stuctures affiliées peuvent bénéficier en tout ou partie : services communs à l'ensemble des membres, leurs filiales et structures affiliées : systèmes d'informations ; en outre, l'association peut porter pour";"050000";"000000";"";"176";"";"RUE";"Montmartre";"_";"75102";"75002";"Paris";"";"";"";"176  RUE MONTMARTRE";"";"75002";"PARIS";"FRANCE";"PM";"";"1";"";"A";"2014-12-20 12:46:30"
"W579000009";"161/4";"";"";"691P";"2013-05-23";"2015-03-06";"0001-01-01";"0001-01-01";"D";"S";"KONSTELLA NETWORK";"KONSTELLA NETWORK";"promouvoir les échanges internationaux sous toutes les formes possibles";"014000";"000000";"";"143";"";"AV";"Lacassagne";"_";"69383";"69003";"Lyon";"";"";"";"143  AVENUE LACASSAGNE";"";"69003";"LYON";"FRANCE";"PF";"";"1";"";"A";"2015-03-25 10:26:47"
"W579000010";"CXXIII0795";"";"";"052P";"1995-07-01";"2015-09-08";"0001-01-01";"0001-01-01";"D";"S";"TERRE MAYA";"TERRE MAYA";"sauvegarde, défense et mise en valeur du patrimoine universel que représente le site de LA CANDELARIA ""rivière sacrée des MAYAS""  au GUATEMALA dans les domaines : du milieu naturel comprenant les cavernes, leurs abords, la forêt tropicale, le réseau hydrokarstologie, la faune et la flore ; des sites archéologoliques superficiels et souterrains ; création d'un centre écologique et agricole susceptible d'offrir une connaissance de la forêt, lutter contre la politique de la terre brûlée, introduire";"020015";"000000";"";"";"";"";"Grande Rue";"_Le Village";"05048";"05700";"L'   Épine";"";"";"";"GRANDE RUE";"LE VILLAGE";"05700";"L'   ÉPINE";"FRANCE";"PM";"";"1";"";"A";"2015-09-19 12:47:11"
"W579000011";"0000";"";"";"543P";"2009-07-02";"2015-07-29";"2009-07-02";"0001-01-01";"D";"S";"DELIRIUM PRODUCTION";"DELIRIUM PRODUCTION";"gestion et promotion de groupes de musique et organisation de concerts";"006100";"000000";"";"5A";"";"RUE";"Charles de Gaulle";"_";"54546";"54121";"Vandières";"";"";"";"5A  RUE CHARLES DE GAULLE";"";"54121";"VANDIèRES";"FRANCE";"PM";"";"1";"Enregistrée auprès du Tribunal d'Instance de Metz le 2 juillet 2009 au registre des associations Volume 148 Folio n° 58";"A";"2016-01-27 20:00:08"
"W579000012";"10030";"";"";"881P";"1988-01-06";"2015-10-29";"0001-01-01";"0001-01-01";"D";"S";"UNION REGIONALE DES CENTRES D'INFORMATION DROITS DE FEMMES ET DES FAMILLES - URCIDF F";"UNION REGIONALE DES CENTRES D'INFO...";"coordonner l'activité des associations adhérentes, organiser toute action ou manifestation commune y compris études et enquêtes, conclure des protocoles de partenariat avec des instances administratives et/ou autres organismes, faire remonter vers les instances régionales-notamment la Délégation Régionale aux Droits des Femmes et à l'Egalité, les informations recueillies auprès des publics reçus dans les CIDF de Lorraine et les besoins exprimés, organiser des formationes pour les salarié, benev";"014035";"000000";"";"19";"";"RUE";"d'Ambrail";"_";"88160";"88000";"Épinal";"";"";"";"19  RUE D'AMBRAIL";"";"88000";"ÉPINAL";"FRANCE";"PF";"";"1";"";"A";"2015-10-29 16:04:47"
"W579000013";"57.000.395";"";"56.000.1928";"579P";"1902-12-29";"1902-12-29";"0001-01-01";"0001-01-01";"R";"S";"ASSOCIATION SAINTE-VERONIQUE";"E.H.P.A.D SAINTE VÉRONIQUE";"Action charitable envers les malades et les personnes âgées.";"019000";"000000";"";"66";"";"RUE";"Général Rampont";"_";"57003";"57560";"Abreschviller";"";"";"";"66  rue Général Rampont";"";"57560";"Abreschviller";"FRANCE";"PM";"";"1";"";"A";"2015-11-26 14:52:17"
"W579000014";"57.000.524";"";"57.000.524";"579P";"2015-11-26";"2015-11-26";"0001-01-01";"0001-01-01";"R";"S";"HÔPITAL DE LA RUE BELLE-ISLE";"HÔPITAL DE LA RUE BELLE-ISLE";"Recevoir et de soigner les malades avec le concours de diaconeses ou d'infirmières laïques";"017000";"000000";"";"2";"";"RUE";"Belle-Isle";"_";"57463";"57000";"Metz";"";"";"";"2  rue Belle-Isle";"";"57045";"Metz Cedex 1";"FRANCE";"PM";"www.hpmetz.fr";"1";"";"A";"2015-11-26 15:23:05"
"W579000015";"57.001.247";"";"57.000.1247";"579P";"2015-11-26";"2015-11-26";"0001-01-01";"0001-01-01";"R";"S";"ACADÉMIE NATIONALE DE METZ";"ACADÉMIE NATIONALE DE METZ";"Travailler au progrès des lettres, des sciences et des arts, ainsi qu'à la prospérité de l'agriculture et de l'industrie dans le département de la Moselle";"006000";"000000";"";"20";"";"VALL2";"En Nexirue";"_";"57463";"57000";"Metz";"";"";"";"20   En Nexirue";"";"57000";"Metz";"FRANCE";"PM";"www.academiemetz.fr";"1";"";"A";"2016-01-28 11:27:04"
